what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399280688702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399280688748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399280689981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399280705799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399280706704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399281534128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399281534159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399281534924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399281549102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399281819623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399281828781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399281829295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283133453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283134786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283180096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283180627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283182608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399283187787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283188396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283305894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283307127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283404506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283404537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283405848
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1399283413304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283420293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283430074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283436923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283456376
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1399283456454
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1399283456470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399283489474
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1399283493842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1399283495074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283509877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283585778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1399283585794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1399283585794
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1399283586543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283588181
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1399283588508
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1399283588524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283589226
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1399283589304
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1399283589725
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1399283590068
error,log,,,"The archive: E:/Study/Java/Elcom/tomcat/lib/bin/bootstrap.jar which is referenced by the classpath, does not exist.",1399283590162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283590193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283591426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399283597868
